3.51,8.23,5
1.15,7.98,5
0.36,9.5,5
0.75,8.45,5
0.73,8.27,5
-0.1,7.94,5
-0.18,6.3,5
3.26,6.88,5
-0.88,7.83,5
-1.9,7.67,5
2.69,8.71,5
-0.27,8.91,5
2.44,9.5,5
-1.01,8.5,5
-0.89,9.21,5
3.21,7.17,5
1.35,7.64,5
-0.03,8.47,5
3.28,7.86,5
-0.01,7.68,5
3.19,8.95,5
-0.54,8.18,5
0.39,7.13,5
2.75,9.17,5
0.08,7.1,5
-0.42,7.61,5
-1.24,7.36,5
-1.87,8.33,5
-1.38,8.78,5
-0.83,8.1,5
0.64,6.72,5
-0.15,6.55,5
0.36,8.75,5
-0.63,6.76,5
1.37,7.87,5
-1.7,8.83,5
2.58,8.09,5
0.18,7.66,5
-1.26,7.62,5
1.37,9.06,5
-0.09,6.72,5
2.72,8.73,5
-0.03,9.43,5
2.38,6.71,5
-0.5,9.21,5
-1.18,6.92,5
-1.68,7.51,5
0.17,9.49,5
1.28,7.82,5
0.31,6.54,5
6.23,3.1,6
6.77,4.38,6
7.09,3.27,6
2.45,4.39,6
6.59,4.56,6
4.22,2.94,6
3.66,5.42,6
2.96,5,6
5.64,4.64,6
3.12,5.01,6
5.39,5.66,6
3.84,5.67,6
3.47,2.65,6
6.53,3.05,6
4.3,3.71,6
3.38,4.3,6
5.03,2.61,6
5.23,5.38,6
7.11,3.54,6
2.55,3.35,6
6.39,2.91,6
5.97,4.79,6
3.57,3.75,6
2.96,3.88,6
5.74,5.3,6
3.13,5.29,6
6.22,3.43,6
4.95,3.88,6
5.42,2.29,6
3.42,3.83,6
4.3,4.15,6
2.97,3.89,6
2.73,4.98,6
4.12,3.66,6
6.13,3.26,6
4.91,2.3,6
2.9,5.06,6
2.35,3.55,6
7.36,4.95,6
5.71,2.66,6
6.56,4.28,6
3.65,5.28,6
6.44,2.52,6
3.1,2.9,6
3.72,3.89,6
3.77,3.29,6
6.1,2.2,6
3.9,3.49,6
4.12,4.97,6
3.8,3.71,6
0.74,-5.26,7
-0.22,-6.19,7
-1.44,-6.59,7
-1.81,-6.49,7
0.54,-5.04,7
-3.06,-7.39,7
0.14,-6.69,7
-1.81,-7.64,7
-3.01,-5.02,7
-3.8,-4.65,7
-0.96,-5.37,7
-1.51,-4.37,7
-1.28,-7.34,7
-4.64,-5.19,7
-2.34,-7.03,7
-4.69,-6.23,7
0.09,-6.91,7
-1.14,-6.33,7
-1.91,-4.32,7
-0.82,-4.39,7
-4.51,-5.64,7
-3.06,-4.23,7
0.8,-6.32,7
-1.87,-5.2,7
-1.5,-6.57,7
-0.79,-4.58,7
-0.38,-5.96,7
-4.15,-6.54,7
-3.4,-7.2,7
-0.32,-6.29,7
-2.73,-4.26,7
-3.34,-5.03,7
0.1,-4.95,7
-1.17,-4.98,7
-2.93,-5.28,7
-3.71,-6.66,7
-0.27,-7.33,7
-3.05,-7.13,7
-3.03,-7.27,7
-1.8,-7.12,7
-2.04,-4.33,7
-2.72,-4.49,7
-3.25,-5.96,7
-3.86,-7.34,7
-0.34,-6.89,7
0.28,-7.09,7
-3.83,-7.1,7
-2.24,-5.96,7
-0.44,-7.1,7
-3.06,-4.57,7
0.57,1.59,3
-1.1,0.14,3
-0.46,-1.79,3
2.72,-0.34,3
0.97,-0.3,3
0.45,-1.17,3
-1.24,-0.78,3
1.82,0.34,3
0.86,1.69,3
-0.76,-1.92,3
0.26,-0.42,3
1.93,-1.25,3
0.45,0.1,3
-2,0.1,3
2.24,0.82,3
-1.12,1.84,3
1.67,0.82,3
-0.64,-1.36,3
-1.17,1.43,3
0.24,-1.9,3
1.26,-1.43,3
-0.68,0.03,3
-2.25,-1.11,3
-0.6,-1.72,3
1.25,0.68,3
-0.71,-1.38,3
0.61,-1.83,3
-1.27,0.98,3
-1.78,-0.14,3
0.26,-1.05,3
1.49,1.3,3
-2.67,-0.53,3
1.22,-1.52,3
-0.76,1.62,3
-0.26,-0.74,3
-0.64,0.39,3
2.66,0.22,3
-0.62,-0.75,3
1.75,0.4,3
2.69,-0.21,3
0.6,-1.84,3
-0.19,1.94,3
-2.72,0.76,3
-2.34,0.73,3
-0.08,-0.06,3
-0.71,0.75,3
1.62,0.3,3
0.03,1.58,3
-1.34,0.95,3
-1.93,1.32,3
8.4,0.95,2
12.67,-0.43,2
11.25,-1.81,2
11.74,-0.54,2
11.83,0.55,2
10.2,-0.81,2
8.66,-1.11,2
9.32,-1.42,2
10.37,-0.59,2
9.23,0.43,2
11.26,-1.32,2
12.18,-0.46,2
9.15,-1.48,2
9.94,0.34,2
11.77,-0.88,2
11.81,0.31,2
13.06,0.02,2
12.45,-0.7,2
10.91,-0.86,2
8.85,-0.51,2
10.34,0.15,2
9.99,-0.31,2
11.09,1.02,2
13.07,1.08,2
10.23,-1.75,2
9.04,1.05,2
12.25,-0.38,2
9.91,0.62,2
9.13,0.24,2
11.69,0.28,2
12.58,0.69,2
9.23,-0.66,2
10.49,-0.05,2
12.34,-0.87,2
8.89,0.78,2
8.07,0.3,2
12,0.8,2
12.82,-1.32,2
10.06,-0.04,2
10.62,0.68,2
9.72,0.32,2
10.6,-1.34,2
8.38,0.14,2
12.29,0.89,2
10.05,-1.03,2
11.3,1.54,2
10.07,0.98,2
10.07,-1.09,2
13.66,-0.87,2
8.46,1.07,2
